issue_id,num_reassignments
CAMEL-3908,1.0
CAMEL-10892,1.0
CAMEL-2324,0.0
HADOOP-5458,1.0
CAMEL-23793,1.0
HADOOP-11814,0.0
HADOOP-8357,1.0
CAMEL-5109,0.0
CAMEL-15439,1.0
HADOOP-7509,0.0
CAMEL-21727,1.0
CAMEL-5431,1.0
CAMEL-10913,1.0
CAMEL-18571,0.0
HADOOP-1147,0.0
CAMEL-9473,0.0
CAMEL-14744,0.0
HADOOP-19336,0.0
HADOOP-6978,0.0
CAMEL-14079,2.0
CAMEL-1879,1.0
HADOOP-14390,1.0
CAMEL-14468,0.0
CAMEL-9325,1.0
CAMEL-3807,0.0
HADOOP-18649,0.0
HADOOP-6829,0.0
CAMEL-11026,0.0
CAMEL-14878,1.0
HADOOP-729,0.0
CAMEL-22908,0.0
CAMEL-4450,0.0
CAMEL-15888,0.0
CAMEL-11594,1.0
HADOOP-19596,0.0
HADOOP-19400,0.0
HADOOP-7322,0.0
CAMEL-16533,0.0
CAMEL-12503,1.0
CAMEL-24064,1.0
HADOOP-15129,2.0
CAMEL-14351,1.0
CAMEL-18549,0.0
CAMEL-6981,0.0
HADOOP-15636,0.0
CAMEL-19248,1.0
HADOOP-16655,0.0
CAMEL-23654,0.0
CAMEL-22846,1.0
HADOOP-9279,1.0
CAMEL-12841,0.0
HADOOP-7698,0.0
CAMEL-19795,1.0
HADOOP-2460,0.0
CAMEL-15674,0.0
HADOOP-4828,0.0
CAMEL-8820,0.0
CAMEL-18800,0.0
CAMEL-8970,0.0
CAMEL-1454,0.0
CAMEL-23609,0.0
CAMEL-18955,1.0
HADOOP-18524,2.0
CAMEL-5828,1.0
HADOOP-431,2.0
HADOOP-16520,1.0
CAMEL-11564,1.0
CAMEL-18813,0.0
CAMEL-9265,1.0
CAMEL-21885,0.0
CAMEL-22676,0.0
HADOOP-3299,1.0
HADOOP-10852,0.0
HADOOP-17445,0.0
HADOOP-6548,1.0
CAMEL-9351,0.0
HADOOP-14468,1.0
CAMEL-3157,0.0
CAMEL-22146,1.0
CAMEL-5846,1.0
CAMEL-9680,1.0
CAMEL-20984,1.0
CAMEL-21970,0.0
CAMEL-18363,0.0
HADOOP-16213,0.0
CAMEL-8558,1.0
CAMEL-6887,0.0
HADOOP-17058,1.0
CAMEL-6851,1.0
CAMEL-4635,0.0
HADOOP-10737,1.0
CAMEL-16782,1.0
CAMEL-6216,1.0
CAMEL-19418,0.0
CAMEL-7956,1.0
CAMEL-8226,1.0
CAMEL-17345,1.0
HADOOP-11226,1.0
CAMEL-6297,1.0
HADOOP-18363,0.0
CAMEL-20209,0.0
CAMEL-17458,1.0
HADOOP-9723,2.0
HADOOP-3154,3.0
CAMEL-3911,0.0
HADOOP-8956,0.0
CAMEL-12370,1.0
CAMEL-18173,0.0
CAMEL-7973,1.0
CAMEL-14646,0.0
HADOOP-11586,0.0
HADOOP-4150,2.0
CAMEL-19579,1.0
HADOOP-12116,0.0
HADOOP-879,1.0
CAMEL-19649,1.0
CAMEL-19840,0.0
HADOOP-15237,1.0
CAMEL-5116,0.0
CAMEL-12086,1.0
CAMEL-12336,1.0
HADOOP-12450,0.0
HADOOP-16418,1.0
HADOOP-10035,1.0
CAMEL-1247,1.0
HADOOP-916,0.0
CAMEL-9445,0.0
HADOOP-1748,0.0
CAMEL-6333,1.0
CAMEL-23815,0.0
CAMEL-10366,1.0
