loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
172,2.4375,16,1,TIKA-1980,TIKA,pre_ai,Bug,1
199,6.888888888888889,9,1,TIKA-525,TIKA,pre_ai,Bug,1
427,1.9206349206349207,63,1,TIKA-2996,TIKA,pre_ai,Improvement,0
442,2.742857142857143,35,1,TIKA-2638,TIKA,pre_ai,Bug,1
182,3.3636363636363638,11,1,TIKA-256,TIKA,pre_ai,Bug,1
1864,2.6858974358974357,156,4,TIKA-3270,TIKA,ai_era,Improvement,0
1926,2.5923076923076924,130,7,TIKA-4561,TIKA,ai_era,Task,0
633,3.588235294117647,34,1,TIKA-4374,TIKA,ai_era,Task,0
1147,9.128205128205128,39,1,TIKA-4361,TIKA,ai_era,Improvement,0
83,1.5,14,1,TIKA-4403,TIKA,ai_era,Task,0
462,3.1666666666666665,30,4,TIKA-2485,TIKA,pre_ai,Improvement,0
498,4.653846153846154,26,1,TIKA-1512,TIKA,pre_ai,Bug,1
270,4.0,14,1,TIKA-2311,TIKA,pre_ai,Bug,1
483,4.48,25,3,TIKA-4013,TIKA,ai_era,New Feature,0
1391,2.9743589743589745,78,14,TIKA-4764,TIKA,ai_era,Task,0
709,3.111111111111111,63,3,TIKA-573,TIKA,pre_ai,Improvement,0
151,8.0,4,1,TIKA-997,TIKA,pre_ai,Improvement,0
267,1.9375,16,3,TIKA-4195,TIKA,ai_era,Improvement,0
621,2.8205128205128207,39,2,TIKA-2174,TIKA,pre_ai,Bug,1
10127,3.5283333333333333,600,37,TIKA-4399,TIKA,ai_era,Task,0
181,4.625,8,1,TIKA-506,TIKA,pre_ai,Improvement,0
170,3.5,10,2,TIKA-4034,TIKA,ai_era,Task,0
3559,2.875486381322957,257,8,TIKA-4330,TIKA,ai_era,Task,0
270,1.962962962962963,27,2,TIKA-4700,TIKA,ai_era,Improvement,0
4055,3.7688888888888887,225,16,TIKA-4689,TIKA,ai_era,Task,0
273,6.9,10,1,TIKA-847,TIKA,pre_ai,New Feature,0
