loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,real_issue_type,defect_prone_strict
422,1.21,100,1,HADOOP-3042,HADOOP,pre_ai,Bug,1
5120,2.420918367346939,392,10,HADOOP-2116,HADOOP,pre_ai,Improvement,0
356,1.8108108108108107,37,2,HADOOP-2886,HADOOP,pre_ai,Improvement,0
470,1.5138888888888888,72,2,HADOOP-3025,HADOOP,pre_ai,Bug,1
1397,5.983606557377049,61,1,HADOOP-3012,HADOOP,pre_ai,Bug,1
2896,3.1588785046728973,214,1,HADOOP-2373,HADOOP,pre_ai,Bug,1
1991,4.559523809523809,84,1,HADOOP-3007,HADOOP,pre_ai,Bug,1
220,1.875,16,1,HADOOP-2944,HADOOP,pre_ai,Bug,1
2897,3.1588785046728973,214,1,HADOOP-3066,HADOOP,pre_ai,Bug,1
1879,3.619047619047619,105,3,HADOOP-2828,HADOOP,pre_ai,Bug,1
347,1.9705882352941178,34,1,HADOOP-2823,HADOOP,pre_ai,Bug,1
126,5.25,4,1,HADOOP-3049,HADOOP,pre_ai,Bug,1
1620,3.2718446601941746,103,1,HADOOP-3039,HADOOP,pre_ai,Bug,1
662,2.234567901234568,81,1,HADOOP-3027,HADOOP,pre_ai,Bug,1
561,3.0,35,1,HADOOP-3080,HADOOP,pre_ai,Bug,1
6597,3.1176470588235294,425,9,HADOOP-2902,HADOOP,pre_ai,Improvement,0
703,2.3625,80,3,HADOOP-3046,HADOOP,pre_ai,Improvement,0
662,3.6944444444444446,36,1,HADOOP-3056,HADOOP,pre_ai,Bug,1
6091,3.192399049881235,421,4,HADOOP-2119,HADOOP,pre_ai,Bug,1
180,3.3333333333333335,12,1,HADOOP-3070,HADOOP,pre_ai,Bug,1
102,1.4705882352941178,17,1,HADOOP-3094,HADOOP,pre_ai,Bug,1
1808,3.234782608695652,115,1,HADOOP-3067,HADOOP,pre_ai,Bug,1
124,1.2380952380952381,21,2,HADOOP-3073,HADOOP,pre_ai,Bug,1
4520,3.212218649517685,311,2,HADOOP-3065,HADOOP,pre_ai,Bug,1
3267,3.1554621848739495,238,3,HADOOP-3084,HADOOP,pre_ai,Bug,1
495,3.6774193548387095,31,1,HADOOP-3107,HADOOP,pre_ai,Bug,1
703,1.5245901639344261,122,2,HADOOP-3064,HADOOP,pre_ai,Bug,1
893,2.9682539682539684,63,1,HADOOP-3092,HADOOP,pre_ai,Improvement,0
1483,5.694444444444445,72,2,HADOOP-3098,HADOOP,pre_ai,Bug,1
1419,5.857142857142857,63,1,HADOOP-3114,HADOOP,pre_ai,Bug,1
813,2.072289156626506,83,2,HADOOP-3108,HADOOP,pre_ai,Bug,1
136,2.75,8,1,HADOOP-3104,HADOOP,pre_ai,Bug,1
772,3.404255319148936,47,1,HADOOP-2854,HADOOP,pre_ai,Improvement,0
256,1.4523809523809523,42,1,HADOOP-3128,HADOOP,pre_ai,Bug,1
4545,3.067605633802817,355,12,HADOOP-2563,HADOOP,pre_ai,Improvement,0
3018,2.369918699186992,246,6,HADOOP-2919,HADOOP,pre_ai,Improvement,0
488,2.0,56,2,HADOOP-2818,HADOOP,pre_ai,Bug,1
4274,2.8137535816618913,349,3,HADOOP-2831,HADOOP,pre_ai,Improvement,0
586,2.7169811320754715,53,2,HADOOP-3093,HADOOP,pre_ai,Bug,1
2785,3.817204301075269,186,4,HADOOP-2839,HADOOP,pre_ai,Improvement,0
7820,2.4654002713704206,737,12,HADOOP-2634,HADOOP,pre_ai,Improvement,0
788,3.176470588235294,51,1,HADOOP-3118,HADOOP,pre_ai,Bug,1
780,3.3541666666666665,48,1,HADOOP-3010,HADOOP,pre_ai,Bug,1
805,3.8444444444444446,45,1,HADOOP-3099,HADOOP,pre_ai,Improvement,0
5239,2.2136279926335174,543,13,HADOOP-3001,HADOOP,pre_ai,New Feature,0
481,4.037037037037037,27,1,HADOOP-3161,HADOOP,pre_ai,Bug,1
480,3.5714285714285716,28,1,HADOOP-3089,HADOOP,pre_ai,Bug,1
868,2.5942028985507246,69,5,HADOOP-2826,HADOOP,pre_ai,Bug,1
5400,3.096676737160121,331,7,HADOOP-3140,HADOOP,pre_ai,Bug,1
1822,3.25,116,1,HADOOP-3146,HADOOP,pre_ai,Bug,1
1417,5.951612903225806,62,1,HADOOP-3165,HADOOP,pre_ai,Bug,1
2723,3.201005025125628,199,1,HADOOP-3138,HADOOP,pre_ai,Bug,1
3390,3.253012048192771,249,3,HADOOP-3159,HADOOP,pre_ai,Bug,1
69,1.8888888888888888,9,1,HADOOP-3041,HADOOP,pre_ai,Bug,1
2891,3.1348837209302327,215,1,HADOOP-3083,HADOOP,pre_ai,Bug,1
505,3.75,28,1,HADOOP-3168,HADOOP,pre_ai,Bug,1
840,2.5849056603773586,53,1,HADOOP-3166,HADOOP,pre_ai,Bug,1
4879,3.528428093645485,299,2,HADOOP-3050,HADOOP,pre_ai,Bug,1
1131,1.9315068493150684,146,3,HADOOP-3139,HADOOP,pre_ai,Bug,1
4128,3.479553903345725,269,6,HADOOP-2841,HADOOP,pre_ai,Improvement,0
232,2.4615384615384617,26,1,HADOOP-4154,HADOOP,pre_ai,Bug,1
2471,2.860294117647059,136,4,HADOOP-3446,HADOOP,pre_ai,Improvement,0
915,2.75,68,1,HADOOP-4054,HADOOP,pre_ai,Bug,1
3004,3.4390243902439024,205,1,HADOOP-4071,HADOOP,pre_ai,Bug,1
1306,3.915492957746479,71,1,HADOOP-4147,HADOOP,pre_ai,Bug,1
2495,3.7142857142857144,133,3,HADOOP-4112,HADOOP,pre_ai,Bug,1
2085,3.176470588235294,136,1,HADOOP-3831,HADOOP,pre_ai,Bug,1
2074,3.021897810218978,137,2,HADOOP-4155,HADOOP,pre_ai,Bug,1
217,1.76,25,1,HADOOP-4099,HADOOP,pre_ai,Bug,1
2726,2.3783783783783785,222,10,HADOOP-4151,HADOOP,pre_ai,Improvement,0
1575,4.149425287356322,87,1,HADOOP-3245,HADOOP,pre_ai,New Feature,0
324,3.923076923076923,13,2,HADOOP-3570,HADOOP,pre_ai,Bug,1
