loc,cyclomatic_complexity,num_functions,num_files_changed,token_count,project_name,era,defect_prone
531,2.5217391304347827,46,1,3252,HADOOP,pre_ai,1
266,1.625,24,1,1573,HADOOP,pre_ai,1
74,3.75,4,1,579,CAMEL,pre_ai,1
194,2.076923076923077,13,2,1601,CAMEL,ai_era,1
159,1.6470588235294117,17,1,1131,CAMEL,ai_era,1
3666,2.627692307692308,325,2,24059,CAMEL,ai_era,1
1566,5.491228070175438,57,5,13296,CAMEL,ai_era,1
4682,2.762264150943396,265,7,31226,HADOOP,ai_era,1
207,2.217391304347826,23,1,1573,CAMEL,pre_ai,1
519,1.907692307692308,65,1,3555,CAMEL,pre_ai,1
2199,5.260869565217392,92,2,19589,CAMEL,ai_era,1
33,5.0,1,1,220,CAMEL,pre_ai,1
196,1.4545454545454546,22,1,1361,HADOOP,pre_ai,1
171,1.631578947368421,19,2,1006,CAMEL,ai_era,1
628,2.1403508771929824,57,5,4720,CAMEL,ai_era,1
161,2.272727272727273,11,1,1012,HADOOP,pre_ai,1
2424,2.1686746987951806,249,25,16097,CAMEL,pre_ai,1
612,2.425531914893617,47,2,4743,CAMEL,ai_era,1
4874,6.977653631284916,179,6,38316,CAMEL,ai_era,1
822,2.788732394366197,71,1,5686,HADOOP,pre_ai,1
86,3.2,5,1,668,CAMEL,ai_era,1
6579,1.90956749672346,763,7,41248,CAMEL,ai_era,1
127,1.0769230769230769,26,1,682,CAMEL,pre_ai,1
264,5.416666666666667,12,1,2202,CAMEL,pre_ai,1
417,2.097560975609756,41,2,2851,CAMEL,ai_era,1
536,1.1262135922330097,103,1,3154,CAMEL,pre_ai,1
938,3.08955223880597,67,12,7451,HADOOP,pre_ai,1
350,2.242424242424242,33,1,2557,CAMEL,pre_ai,1
860,5.454545454545454,33,2,6762,CAMEL,ai_era,1
1216,1.8294573643410847,129,3,8991,CAMEL,ai_era,1
1157,4.585365853658536,41,2,10324,CAMEL,ai_era,1
484,4.958333333333333,24,1,4115,CAMEL,pre_ai,1
1581,1.9095477386934676,199,5,10656,HADOOP,ai_era,1
